Type:        array, Operation:   A, Word: nebulizer      , Time difference:0.000063657761
Type:        array, Operation:   A, Word: gratui         , Time difference:0.000036716461
Type:        array, Operation:   A, Word: microwavable   , Time difference:0.000044822693
Type:        array, Operation:   A, Word: aaaaaa         , Time difference:0.000202417374
Type:        array, Operation:   A, Word: mmmmm          , Time difference:0.000077009201
Type:        array, Operation:   A, Word: zzzzzz         , Time difference:0.000078439713
Type:        array, Operation:   S, Word: nebulizer      , Time difference:0.000063657761
Type:        array, Operation:   S, Word: gratui         , Time difference:0.000042915344
Type:        array, Operation:   S, Word: microwavable   , Time difference:0.000052928925
Type:        array, Operation:   S, Word: aaaaaa         , Time difference:0.000014305115
Type:        array, Operation:   S, Word: mmmmm          , Time difference:0.000010967255
Type:        array, Operation:   S, Word: zzzzzz         , Time difference:0.000010251999
Type:        array, Operation:   S, Word: yyyyy          , Time difference:0.000085592270
Type:        array, Operation:  AC, Word: nebulizer      , Time difference:0.000265359879
Type:        array, Operation:  AC, Word: gratui         , Time difference:0.000263452530
Type:        array, Operation:  AC, Word: microwavable   , Time difference:0.000179290771
Type:        array, Operation:  AC, Word: aaaaaa         , Time difference:0.000207662582
Type:        array, Operation:  AC, Word: mmmmm          , Time difference:0.000223875046
Type:        array, Operation:  AC, Word: zzzzzz         , Time difference:0.000231742859
Type:        array, Operation:  AC, Word: yyyyy          , Time difference:0.000216007233
Type:        array, Operation:  AC, Word: win            , Time difference:0.000223636627
Type:        array, Operation:  AC, Word: boy            , Time difference:0.000242948532
Type:        array, Operation:   D, Word: nebulizer      , Time difference:0.000118732452
Type:        array, Operation:   D, Word: gratui         , Time difference:0.000065088272
Type:        array, Operation:   D, Word: microwavable   , Time difference:0.000116825104
Type:        array, Operation:   D, Word: aaaaaa         , Time difference:0.000005245209
Type:        array, Operation:   D, Word: mmmmm          , Time difference:0.000004053116
Type:        array, Operation:   D, Word: zzzzzz         , Time difference:0.000003576279
Type:        array, Operation:   D, Word: yyyyy          , Time difference:0.000076293945
