Type:   linkedlist, Operation:   A, Word: nebulizer      , Time difference:0.000009775162
Type:   linkedlist, Operation:   A, Word: gratui         , Time difference:0.000112771988
Type:   linkedlist, Operation:   A, Word: microwavable   , Time difference:0.000216484070
Type:   linkedlist, Operation:   A, Word: aaaaaa         , Time difference:0.000242233276
Type:   linkedlist, Operation:   A, Word: mmmmm          , Time difference:0.000229835510
Type:   linkedlist, Operation:   A, Word: zzzzzz         , Time difference:0.000220298767
Type:   linkedlist, Operation:   S, Word: nebulizer      , Time difference:0.000031471252
Type:   linkedlist, Operation:   S, Word: gratui         , Time difference:0.000090837479
Type:   linkedlist, Operation:   S, Word: microwavable   , Time difference:0.000157594681
Type:   linkedlist, Operation:   S, Word: aaaaaa         , Time difference:0.000159025192
Type:   linkedlist, Operation:   S, Word: mmmmm          , Time difference:0.000158548355
Type:   linkedlist, Operation:   S, Word: zzzzzz         , Time difference:0.000174045563
Type:   linkedlist, Operation:   S, Word: yyyyy          , Time difference:0.000158071518
Type:   linkedlist, Operation:  AC, Word: nebulizer      , Time difference:0.000347375870
Type:   linkedlist, Operation:  AC, Word: gratui         , Time difference:0.000367641449
Type:   linkedlist, Operation:  AC, Word: microwavable   , Time difference:0.000347137451
Type:   linkedlist, Operation:  AC, Word: aaaaaa         , Time difference:0.000364065170
Type:   linkedlist, Operation:  AC, Word: mmmmm          , Time difference:0.000375747681
Type:   linkedlist, Operation:  AC, Word: zzzzzz         , Time difference:0.000363349915
Type:   linkedlist, Operation:  AC, Word: yyyyy          , Time difference:0.000364065170
Type:   linkedlist, Operation:  AC, Word: win            , Time difference:0.000376224518
Type:   linkedlist, Operation:  AC, Word: boy            , Time difference:0.000407218933
Type:   linkedlist, Operation:   D, Word: nebulizer      , Time difference:0.000005722046
Type:   linkedlist, Operation:   D, Word: gratui         , Time difference:0.000106811523
Type:   linkedlist, Operation:   D, Word: microwavable   , Time difference:0.000208139420
Type:   linkedlist, Operation:   D, Word: aaaaaa         , Time difference:0.000216007233
Type:   linkedlist, Operation:   D, Word: mmmmm          , Time difference:0.000210523605
Type:   linkedlist, Operation:   D, Word: zzzzzz         , Time difference:0.000209331512
Type:   linkedlist, Operation:   D, Word: yyyyy          , Time difference:0.000209093094
