Type:         trie, Operation:   A, Word: nebulizer      , Time difference:0.000016927719
Type:         trie, Operation:   A, Word: gratui         , Time difference:0.000010013580
Type:         trie, Operation:   A, Word: microwavable   , Time difference:0.000010013580
Type:         trie, Operation:   A, Word: aaaaaa         , Time difference:0.000016450882
Type:         trie, Operation:   A, Word: mmmmm          , Time difference:0.000017404556
Type:         trie, Operation:   A, Word: zzzzzz         , Time difference:0.000013828278
Type:         trie, Operation:   S, Word: nebulizer      , Time difference:0.000033617020
Type:         trie, Operation:   S, Word: gratui         , Time difference:0.000019788742
Type:         trie, Operation:   S, Word: microwavable   , Time difference:0.000031709671
Type:         trie, Operation:   S, Word: aaaaaa         , Time difference:0.000016689301
Type:         trie, Operation:   S, Word: mmmmm          , Time difference:0.000015258789
Type:         trie, Operation:   S, Word: zzzzzz         , Time difference:0.000015497208
Type:         trie, Operation:   S, Word: yyyyy          , Time difference:0.000013828278
Type:         trie, Operation:  AC, Word: nebulizer      , Time difference:0.000019550323
Type:         trie, Operation:  AC, Word: gratui         , Time difference:0.000012874603
Type:         trie, Operation:  AC, Word: microwavable   , Time difference:0.000014781952
Type:         trie, Operation:  AC, Word: aaaaaa         , Time difference:0.000011205673
Type:         trie, Operation:  AC, Word: mmmmm          , Time difference:0.000011205673
Type:         trie, Operation:  AC, Word: zzzzzz         , Time difference:0.000010728836
Type:         trie, Operation:  AC, Word: yyyyy          , Time difference:0.000006198883
Type:         trie, Operation:  AC, Word: win            , Time difference:0.000006198883
Type:         trie, Operation:  AC, Word: boy            , Time difference:0.000005960464
Type:         trie, Operation:   D, Word: nebulizer      , Time difference:0.000012397766
Type:         trie, Operation:   D, Word: gratui         , Time difference:0.000007867813
Type:         trie, Operation:   D, Word: microwavable   , Time difference:0.000012397766
Type:         trie, Operation:   D, Word: aaaaaa         , Time difference:0.000008106232
Type:         trie, Operation:   D, Word: mmmmm          , Time difference:0.000007152557
Type:         trie, Operation:   D, Word: zzzzzz         , Time difference:0.000007629395
Type:         trie, Operation:   D, Word: yyyyy          , Time difference:0.000004291534
