Type:        array, Operation:   A, Word: doctors        , Time difference:0.000276088715
Type:        array, Operation:   A, Word: embroiled      , Time difference:0.000278472900
Type:        array, Operation:   A, Word: teleseminars   , Time difference:0.000807523727
Type:        array, Operation:   A, Word: aaaaaa         , Time difference:0.002351999283
Type:        array, Operation:   A, Word: mmmmm          , Time difference:0.000937938690
Type:        array, Operation:   A, Word: zzzzzz         , Time difference:0.000951290131
Type:        array, Operation:   S, Word: doctors        , Time difference:0.000267744064
Type:        array, Operation:   S, Word: embroiled      , Time difference:0.000264883041
Type:        array, Operation:   S, Word: teleseminars   , Time difference:0.000885248184
Type:        array, Operation:   S, Word: aaaaaa         , Time difference:0.000011920929
Type:        array, Operation:   S, Word: mmmmm          , Time difference:0.000010728836
Type:        array, Operation:   S, Word: zzzzzz         , Time difference:0.000010490417
Type:        array, Operation:   S, Word: yyyyy          , Time difference:0.001031398773
Type:        array, Operation:  AC, Word: doctors        , Time difference:0.002321720123
Type:        array, Operation:  AC, Word: embroiled      , Time difference:0.002159595490
Type:        array, Operation:  AC, Word: teleseminars   , Time difference:0.002078294754
Type:        array, Operation:  AC, Word: aaaaaa         , Time difference:0.002302885056
Type:        array, Operation:  AC, Word: mmmmm          , Time difference:0.002331256866
Type:        array, Operation:  AC, Word: zzzzzz         , Time difference:0.002327680588
Type:        array, Operation:  AC, Word: yyyyy          , Time difference:0.002358913422
Type:        array, Operation:  AC, Word: win            , Time difference:0.002380847931
Type:        array, Operation:  AC, Word: boy            , Time difference:0.002405881882
Type:        array, Operation:   D, Word: doctors        , Time difference:0.000698804855
Type:        array, Operation:   D, Word: embroiled      , Time difference:0.000749826431
Type:        array, Operation:   D, Word: teleseminars   , Time difference:0.002404451370
Type:        array, Operation:   D, Word: aaaaaa         , Time difference:0.000007867813
Type:        array, Operation:   D, Word: mmmmm          , Time difference:0.000006675720
Type:        array, Operation:   D, Word: zzzzzz         , Time difference:0.000006198883
Type:        array, Operation:   D, Word: yyyyy          , Time difference:0.000927925110
