Type:   linkedlist, Operation:   A, Word: doctors        , Time difference:0.000010251999
Type:   linkedlist, Operation:   A, Word: embroiled      , Time difference:0.001105308533
Type:   linkedlist, Operation:   A, Word: teleseminars   , Time difference:0.002139568329
Type:   linkedlist, Operation:   A, Word: aaaaaa         , Time difference:0.002163887024
Type:   linkedlist, Operation:   A, Word: mmmmm          , Time difference:0.002151727676
Type:   linkedlist, Operation:   A, Word: zzzzzz         , Time difference:0.002148389816
Type:   linkedlist, Operation:   S, Word: doctors        , Time difference:0.000048398972
Type:   linkedlist, Operation:   S, Word: embroiled      , Time difference:0.000864744186
Type:   linkedlist, Operation:   S, Word: teleseminars   , Time difference:0.001563072205
Type:   linkedlist, Operation:   S, Word: aaaaaa         , Time difference:0.001550197601
Type:   linkedlist, Operation:   S, Word: mmmmm          , Time difference:0.001567363739
Type:   linkedlist, Operation:   S, Word: zzzzzz         , Time difference:0.001557350159
Type:   linkedlist, Operation:   S, Word: yyyyy          , Time difference:0.001569032669
Type:   linkedlist, Operation:  AC, Word: doctors        , Time difference:0.003489494324
Type:   linkedlist, Operation:  AC, Word: embroiled      , Time difference:0.003337383270
Type:   linkedlist, Operation:  AC, Word: teleseminars   , Time difference:0.003186941147
Type:   linkedlist, Operation:  AC, Word: aaaaaa         , Time difference:0.003486394882
Type:   linkedlist, Operation:  AC, Word: mmmmm          , Time difference:0.003577709198
Type:   linkedlist, Operation:  AC, Word: zzzzzz         , Time difference:0.003582954407
Type:   linkedlist, Operation:  AC, Word: yyyyy          , Time difference:0.003578662872
Type:   linkedlist, Operation:  AC, Word: win            , Time difference:0.003549814224
Type:   linkedlist, Operation:  AC, Word: boy            , Time difference:0.003660202026
Type:   linkedlist, Operation:   D, Word: doctors        , Time difference:0.000005483627
Type:   linkedlist, Operation:   D, Word: embroiled      , Time difference:0.001065492630
Type:   linkedlist, Operation:   D, Word: teleseminars   , Time difference:0.002035140991
Type:   linkedlist, Operation:   D, Word: aaaaaa         , Time difference:0.002063512802
Type:   linkedlist, Operation:   D, Word: mmmmm          , Time difference:0.002062320709
Type:   linkedlist, Operation:   D, Word: zzzzzz         , Time difference:0.002099514008
Type:   linkedlist, Operation:   D, Word: yyyyy          , Time difference:0.002092838287
