Type:         trie, Operation:   A, Word: doctors        , Time difference:0.000030517578
Type:         trie, Operation:   A, Word: embroiled      , Time difference:0.000011205673
Type:         trie, Operation:   A, Word: teleseminars   , Time difference:0.000009536743
Type:         trie, Operation:   A, Word: aaaaaa         , Time difference:0.000015974045
Type:         trie, Operation:   A, Word: mmmmm          , Time difference:0.000012397766
Type:         trie, Operation:   A, Word: zzzzzz         , Time difference:0.000016689301
Type:         trie, Operation:   S, Word: doctors        , Time difference:0.000037908554
Type:         trie, Operation:   S, Word: embroiled      , Time difference:0.000033855438
Type:         trie, Operation:   S, Word: teleseminars   , Time difference:0.000018835068
Type:         trie, Operation:   S, Word: aaaaaa         , Time difference:0.000015735626
Type:         trie, Operation:   S, Word: mmmmm          , Time difference:0.000016212463
Type:         trie, Operation:   S, Word: zzzzzz         , Time difference:0.000015735626
Type:         trie, Operation:   S, Word: yyyyy          , Time difference:0.000033378601
Type:         trie, Operation:  AC, Word: doctors        , Time difference:0.000026702881
Type:         trie, Operation:  AC, Word: embroiled      , Time difference:0.000018596649
Type:         trie, Operation:  AC, Word: teleseminars   , Time difference:0.000015735626
Type:         trie, Operation:  AC, Word: aaaaaa         , Time difference:0.000012636185
Type:         trie, Operation:  AC, Word: mmmmm          , Time difference:0.000011682510
Type:         trie, Operation:  AC, Word: zzzzzz         , Time difference:0.000011444092
Type:         trie, Operation:  AC, Word: yyyyy          , Time difference:0.000008106232
Type:         trie, Operation:  AC, Word: win            , Time difference:0.000103473663
Type:         trie, Operation:  AC, Word: boy            , Time difference:0.000020027161
Type:         trie, Operation:   D, Word: doctors        , Time difference:0.000010251999
Type:         trie, Operation:   D, Word: embroiled      , Time difference:0.000010251999
Type:         trie, Operation:   D, Word: teleseminars   , Time difference:0.000025033951
Type:         trie, Operation:   D, Word: aaaaaa         , Time difference:0.000008106232
Type:         trie, Operation:   D, Word: mmmmm          , Time difference:0.000006914139
Type:         trie, Operation:   D, Word: zzzzzz         , Time difference:0.000007390976
Type:         trie, Operation:   D, Word: yyyyy          , Time difference:0.000005245209
