Type:        array, Operation:   A, Word: potentiate     , Time difference:0.014519214630
Type:        array, Operation:   A, Word: habbohotelcom  , Time difference:0.006379604340
Type:        array, Operation:   A, Word: shunga         , Time difference:0.011999130249
Type:        array, Operation:   A, Word: aaaaaa         , Time difference:0.015805482864
Type:        array, Operation:   A, Word: mmmmm          , Time difference:0.016216754913
Type:        array, Operation:   A, Word: zzzzzz         , Time difference:0.016056060791
Type:        array, Operation:   S, Word: potentiate     , Time difference:0.010861396790
Type:        array, Operation:   S, Word: habbohotelcom  , Time difference:0.005388021469
Type:        array, Operation:   S, Word: shunga         , Time difference:0.010724067688
Type:        array, Operation:   S, Word: aaaaaa         , Time difference:0.000013351440
Type:        array, Operation:   S, Word: mmmmm          , Time difference:0.000010967255
Type:        array, Operation:   S, Word: zzzzzz         , Time difference:0.000010251999
Type:        array, Operation:   S, Word: yyyyy          , Time difference:0.014534235001
Type:        array, Operation:  AC, Word: potentiate     , Time difference:0.027302980423
Type:        array, Operation:  AC, Word: habbohotelcom  , Time difference:0.026981592178
Type:        array, Operation:  AC, Word: shunga         , Time difference:0.030003309250
Type:        array, Operation:  AC, Word: aaaaaa         , Time difference:0.030306577682
Type:        array, Operation:  AC, Word: mmmmm          , Time difference:0.031149387360
Type:        array, Operation:  AC, Word: zzzzzz         , Time difference:0.031872272491
Type:        array, Operation:  AC, Word: yyyyy          , Time difference:0.031187295914
Type:        array, Operation:  AC, Word: win            , Time difference:0.030884504318
Type:        array, Operation:  AC, Word: boy            , Time difference:0.031056404114
Type:        array, Operation:   D, Word: potentiate     , Time difference:0.026382684708
Type:        array, Operation:   D, Word: habbohotelcom  , Time difference:0.012509346008
Type:        array, Operation:   D, Word: shunga         , Time difference:0.028844356537
Type:        array, Operation:   D, Word: aaaaaa         , Time difference:0.000050067902
Type:        array, Operation:   D, Word: mmmmm          , Time difference:0.000031232834
Type:        array, Operation:   D, Word: zzzzzz         , Time difference:0.000030279160
Type:        array, Operation:   D, Word: yyyyy          , Time difference:0.015193462372
