Type:   linkedlist, Operation:   A, Word: potentiate     , Time difference:0.000020742416
Type:   linkedlist, Operation:   A, Word: habbohotelcom  , Time difference:0.011330366135
Type:   linkedlist, Operation:   A, Word: shunga         , Time difference:0.022543907166
Type:   linkedlist, Operation:   A, Word: aaaaaa         , Time difference:0.023104429245
Type:   linkedlist, Operation:   A, Word: mmmmm          , Time difference:0.023410797119
Type:   linkedlist, Operation:   A, Word: zzzzzz         , Time difference:0.023277521133
Type:   linkedlist, Operation:   S, Word: potentiate     , Time difference:0.000103473663
Type:   linkedlist, Operation:   S, Word: habbohotelcom  , Time difference:0.008667945862
Type:   linkedlist, Operation:   S, Word: shunga         , Time difference:0.016582250595
Type:   linkedlist, Operation:   S, Word: aaaaaa         , Time difference:0.017525672913
Type:   linkedlist, Operation:   S, Word: mmmmm          , Time difference:0.017699718475
Type:   linkedlist, Operation:   S, Word: zzzzzz         , Time difference:0.017144203186
Type:   linkedlist, Operation:   S, Word: yyyyy          , Time difference:0.017148256302
Type:   linkedlist, Operation:  AC, Word: potentiate     , Time difference:0.035209417343
Type:   linkedlist, Operation:  AC, Word: habbohotelcom  , Time difference:0.034370422363
Type:   linkedlist, Operation:  AC, Word: shunga         , Time difference:0.037825822830
Type:   linkedlist, Operation:  AC, Word: aaaaaa         , Time difference:0.037618875504
Type:   linkedlist, Operation:  AC, Word: mmmmm          , Time difference:0.038863420486
Type:   linkedlist, Operation:  AC, Word: zzzzzz         , Time difference:0.037863731384
Type:   linkedlist, Operation:  AC, Word: yyyyy          , Time difference:0.038256406784
Type:   linkedlist, Operation:  AC, Word: win            , Time difference:0.039556264877
Type:   linkedlist, Operation:  AC, Word: boy            , Time difference:0.039189338684
Type:   linkedlist, Operation:   D, Word: potentiate     , Time difference:0.000023841858
Type:   linkedlist, Operation:   D, Word: habbohotelcom  , Time difference:0.010904312134
Type:   linkedlist, Operation:   D, Word: shunga         , Time difference:0.021674394608
Type:   linkedlist, Operation:   D, Word: aaaaaa         , Time difference:0.022192239761
Type:   linkedlist, Operation:   D, Word: mmmmm          , Time difference:0.022085905075
Type:   linkedlist, Operation:   D, Word: zzzzzz         , Time difference:0.022852659225
Type:   linkedlist, Operation:   D, Word: yyyyy          , Time difference:0.022115468979
