Type:         trie, Operation:   A, Word: potentiate     , Time difference:0.000025749207
Type:         trie, Operation:   A, Word: habbohotelcom  , Time difference:0.000015974045
Type:         trie, Operation:   A, Word: shunga         , Time difference:0.000007629395
Type:         trie, Operation:   A, Word: aaaaaa         , Time difference:0.000013828278
Type:         trie, Operation:   A, Word: mmmmm          , Time difference:0.000011682510
Type:         trie, Operation:   A, Word: zzzzzz         , Time difference:0.000013113022
Type:         trie, Operation:   S, Word: potentiate     , Time difference:0.000053167343
Type:         trie, Operation:   S, Word: habbohotelcom  , Time difference:0.000026702881
Type:         trie, Operation:   S, Word: shunga         , Time difference:0.000017642975
Type:         trie, Operation:   S, Word: aaaaaa         , Time difference:0.000016450882
Type:         trie, Operation:   S, Word: mmmmm          , Time difference:0.000015974045
Type:         trie, Operation:   S, Word: zzzzzz         , Time difference:0.000015974045
Type:         trie, Operation:   S, Word: yyyyy          , Time difference:0.000015735626
Type:         trie, Operation:  AC, Word: potentiate     , Time difference:0.000029325485
Type:         trie, Operation:  AC, Word: habbohotelcom  , Time difference:0.000016927719
Type:         trie, Operation:  AC, Word: shunga         , Time difference:0.000011682510
Type:         trie, Operation:  AC, Word: aaaaaa         , Time difference:0.000011444092
Type:         trie, Operation:  AC, Word: mmmmm          , Time difference:0.000010490417
Type:         trie, Operation:  AC, Word: zzzzzz         , Time difference:0.000010967255
Type:         trie, Operation:  AC, Word: yyyyy          , Time difference:0.000007629395
Type:         trie, Operation:  AC, Word: win            , Time difference:0.000702857971
Type:         trie, Operation:  AC, Word: boy            , Time difference:0.000071763992
Type:         trie, Operation:   D, Word: potentiate     , Time difference:0.000013351440
Type:         trie, Operation:   D, Word: habbohotelcom  , Time difference:0.000013828278
Type:         trie, Operation:   D, Word: shunga         , Time difference:0.000008344650
Type:         trie, Operation:   D, Word: aaaaaa         , Time difference:0.000008106232
Type:         trie, Operation:   D, Word: mmmmm          , Time difference:0.000007390976
Type:         trie, Operation:   D, Word: zzzzzz         , Time difference:0.000007867813
Type:         trie, Operation:   D, Word: yyyyy          , Time difference:0.000005960464
