Type:        array, Operation:   A, Word: angular        , Time difference:0.000013351440
Type:        array, Operation:   A, Word: incapacitation , Time difference:0.000022888184
Type:        array, Operation:   A, Word: moisi          , Time difference:0.000024795532
Type:        array, Operation:   A, Word: aaaaaa         , Time difference:0.000093460083
Type:        array, Operation:   A, Word: mmmmm          , Time difference:0.000038385391
Type:        array, Operation:   A, Word: zzzzzz         , Time difference:0.000037193298
Type:        array, Operation:   S, Word: angular        , Time difference:0.000023126602
Type:        array, Operation:   S, Word: incapacitation , Time difference:0.000030040741
Type:        array, Operation:   S, Word: moisi          , Time difference:0.000033140182
Type:        array, Operation:   S, Word: aaaaaa         , Time difference:0.000011205673
Type:        array, Operation:   S, Word: mmmmm          , Time difference:0.000010728836
Type:        array, Operation:   S, Word: zzzzzz         , Time difference:0.000010251999
Type:        array, Operation:   S, Word: yyyyy          , Time difference:0.000044584274
Type:        array, Operation:  AC, Word: angular        , Time difference:0.000110864639
Type:        array, Operation:  AC, Word: incapacitation , Time difference:0.000106573105
Type:        array, Operation:  AC, Word: moisi          , Time difference:0.000143766403
Type:        array, Operation:  AC, Word: aaaaaa         , Time difference:0.000160932541
Type:        array, Operation:  AC, Word: mmmmm          , Time difference:0.000135183334
Type:        array, Operation:  AC, Word: zzzzzz         , Time difference:0.000139713287
Type:        array, Operation:  AC, Word: yyyyy          , Time difference:0.000123977661
Type:        array, Operation:  AC, Word: win            , Time difference:0.000112771988
Type:        array, Operation:  AC, Word: boy            , Time difference:0.000112533569
Type:        array, Operation:   D, Word: angular        , Time difference:0.000009298325
Type:        array, Operation:   D, Word: incapacitation , Time difference:0.000035524368
Type:        array, Operation:   D, Word: moisi          , Time difference:0.000062942505
Type:        array, Operation:   D, Word: aaaaaa         , Time difference:0.000004768372
Type:        array, Operation:   D, Word: mmmmm          , Time difference:0.000010728836
Type:        array, Operation:   D, Word: zzzzzz         , Time difference:0.000003576279
Type:        array, Operation:   D, Word: yyyyy          , Time difference:0.000036001205
