Type:   linkedlist, Operation:   A, Word: angular        , Time difference:0.000009536743
Type:   linkedlist, Operation:   A, Word: incapacitation , Time difference:0.000058889389
Type:   linkedlist, Operation:   A, Word: moisi          , Time difference:0.000109195709
Type:   linkedlist, Operation:   A, Word: aaaaaa         , Time difference:0.000113010406
Type:   linkedlist, Operation:   A, Word: mmmmm          , Time difference:0.000114917755
Type:   linkedlist, Operation:   A, Word: zzzzzz         , Time difference:0.000111579895
Type:   linkedlist, Operation:   S, Word: angular        , Time difference:0.000033378601
Type:   linkedlist, Operation:   S, Word: incapacitation , Time difference:0.000063896179
Type:   linkedlist, Operation:   S, Word: moisi          , Time difference:0.000094175339
Type:   linkedlist, Operation:   S, Word: aaaaaa         , Time difference:0.000093698502
Type:   linkedlist, Operation:   S, Word: mmmmm          , Time difference:0.000096321106
Type:   linkedlist, Operation:   S, Word: zzzzzz         , Time difference:0.000097751617
Type:   linkedlist, Operation:   S, Word: yyyyy          , Time difference:0.000092744827
Type:   linkedlist, Operation:  AC, Word: angular        , Time difference:0.000191926956
Type:   linkedlist, Operation:  AC, Word: incapacitation , Time difference:0.000171184540
Type:   linkedlist, Operation:  AC, Word: moisi          , Time difference:0.000225543976
Type:   linkedlist, Operation:  AC, Word: aaaaaa         , Time difference:0.000207901001
Type:   linkedlist, Operation:  AC, Word: mmmmm          , Time difference:0.000190258026
Type:   linkedlist, Operation:  AC, Word: zzzzzz         , Time difference:0.000185251236
Type:   linkedlist, Operation:  AC, Word: yyyyy          , Time difference:0.000186204910
Type:   linkedlist, Operation:  AC, Word: win            , Time difference:0.000192880630
Type:   linkedlist, Operation:  AC, Word: boy            , Time difference:0.000190973282
Type:   linkedlist, Operation:   D, Word: angular        , Time difference:0.000005245209
Type:   linkedlist, Operation:   D, Word: incapacitation , Time difference:0.000053405762
Type:   linkedlist, Operation:   D, Word: moisi          , Time difference:0.000104427338
Type:   linkedlist, Operation:   D, Word: aaaaaa         , Time difference:0.000105381012
Type:   linkedlist, Operation:   D, Word: mmmmm          , Time difference:0.000104904175
Type:   linkedlist, Operation:   D, Word: zzzzzz         , Time difference:0.000104665756
Type:   linkedlist, Operation:   D, Word: yyyyy          , Time difference:0.000103473663
