Type:         trie, Operation:   A, Word: angular        , Time difference:0.000015735626
Type:         trie, Operation:   A, Word: incapacitation , Time difference:0.000012636185
Type:         trie, Operation:   A, Word: moisi          , Time difference:0.000007152557
Type:         trie, Operation:   A, Word: aaaaaa         , Time difference:0.000015974045
Type:         trie, Operation:   A, Word: mmmmm          , Time difference:0.000016212463
Type:         trie, Operation:   A, Word: zzzzzz         , Time difference:0.000016927719
Type:         trie, Operation:   S, Word: angular        , Time difference:0.000047206879
Type:         trie, Operation:   S, Word: incapacitation , Time difference:0.000035285950
Type:         trie, Operation:   S, Word: moisi          , Time difference:0.000016450882
Type:         trie, Operation:   S, Word: aaaaaa         , Time difference:0.000015735626
Type:         trie, Operation:   S, Word: mmmmm          , Time difference:0.000015020370
Type:         trie, Operation:   S, Word: zzzzzz         , Time difference:0.000015497208
Type:         trie, Operation:   S, Word: yyyyy          , Time difference:0.000013589859
Type:         trie, Operation:  AC, Word: angular        , Time difference:0.000018119812
Type:         trie, Operation:  AC, Word: incapacitation , Time difference:0.000016450882
Type:         trie, Operation:  AC, Word: moisi          , Time difference:0.000010728836
Type:         trie, Operation:  AC, Word: aaaaaa         , Time difference:0.000011205673
Type:         trie, Operation:  AC, Word: mmmmm          , Time difference:0.000011205673
Type:         trie, Operation:  AC, Word: zzzzzz         , Time difference:0.000010728836
Type:         trie, Operation:  AC, Word: yyyyy          , Time difference:0.000005722046
Type:         trie, Operation:  AC, Word: win            , Time difference:0.000005722046
Type:         trie, Operation:  AC, Word: boy            , Time difference:0.000013113022
Type:         trie, Operation:   D, Word: angular        , Time difference:0.000009775162
Type:         trie, Operation:   D, Word: incapacitation , Time difference:0.000013351440
Type:         trie, Operation:   D, Word: moisi          , Time difference:0.000006914139
Type:         trie, Operation:   D, Word: aaaaaa         , Time difference:0.000008106232
Type:         trie, Operation:   D, Word: mmmmm          , Time difference:0.000006675720
Type:         trie, Operation:   D, Word: zzzzzz         , Time difference:0.000007390976
Type:         trie, Operation:   D, Word: yyyyy          , Time difference:0.000004053116
