Type:        array, Operation:   A, Word: instill        , Time difference:0.000247955322
Type:        array, Operation:   A, Word: abkhazian      , Time difference:0.000009298325
Type:        array, Operation:   A, Word: nama           , Time difference:0.000301837921
Type:        array, Operation:   A, Word: aaaaaa         , Time difference:0.001169204712
Type:        array, Operation:   A, Word: mmmmm          , Time difference:0.000514745712
Type:        array, Operation:   A, Word: zzzzzz         , Time difference:0.000476837158
Type:        array, Operation:   S, Word: instill        , Time difference:0.000227928162
Type:        array, Operation:   S, Word: abkhazian      , Time difference:0.000038385391
Type:        array, Operation:   S, Word: nama           , Time difference:0.000282526016
Type:        array, Operation:   S, Word: aaaaaa         , Time difference:0.000013113022
Type:        array, Operation:   S, Word: mmmmm          , Time difference:0.000011920929
Type:        array, Operation:   S, Word: zzzzzz         , Time difference:0.000025033951
Type:        array, Operation:   S, Word: yyyyy          , Time difference:0.000457763672
Type:        array, Operation:  AC, Word: instill        , Time difference:0.001219749451
Type:        array, Operation:  AC, Word: abkhazian      , Time difference:0.001050472260
Type:        array, Operation:  AC, Word: nama           , Time difference:0.001184701920
Type:        array, Operation:  AC, Word: aaaaaa         , Time difference:0.001170873642
Type:        array, Operation:  AC, Word: mmmmm          , Time difference:0.001155376434
Type:        array, Operation:  AC, Word: zzzzzz         , Time difference:0.001151561737
Type:        array, Operation:  AC, Word: yyyyy          , Time difference:0.001147031784
Type:        array, Operation:  AC, Word: win            , Time difference:0.001174688339
Type:        array, Operation:  AC, Word: boy            , Time difference:0.001139402390
Type:        array, Operation:   D, Word: instill        , Time difference:0.000572443008
Type:        array, Operation:   D, Word: abkhazian      , Time difference:0.000008821487
Type:        array, Operation:   D, Word: nama           , Time difference:0.000760555267
Type:        array, Operation:   D, Word: aaaaaa         , Time difference:0.000006675720
Type:        array, Operation:   D, Word: mmmmm          , Time difference:0.000005006790
Type:        array, Operation:   D, Word: zzzzzz         , Time difference:0.000004768372
Type:        array, Operation:   D, Word: yyyyy          , Time difference:0.000423192978
