Type:   linkedlist, Operation:   A, Word: instill        , Time difference:0.000009298325
Type:   linkedlist, Operation:   A, Word: abkhazian      , Time difference:0.000558853149
Type:   linkedlist, Operation:   A, Word: nama           , Time difference:0.001076936722
Type:   linkedlist, Operation:   A, Word: aaaaaa         , Time difference:0.001155376434
Type:   linkedlist, Operation:   A, Word: mmmmm          , Time difference:0.001085996628
Type:   linkedlist, Operation:   A, Word: zzzzzz         , Time difference:0.001087665558
Type:   linkedlist, Operation:   S, Word: instill        , Time difference:0.000034570694
Type:   linkedlist, Operation:   S, Word: abkhazian      , Time difference:0.000411033630
Type:   linkedlist, Operation:   S, Word: nama           , Time difference:0.000835895538
Type:   linkedlist, Operation:   S, Word: aaaaaa         , Time difference:0.000875234604
Type:   linkedlist, Operation:   S, Word: mmmmm          , Time difference:0.000842094421
Type:   linkedlist, Operation:   S, Word: zzzzzz         , Time difference:0.000850200653
Type:   linkedlist, Operation:   S, Word: yyyyy          , Time difference:0.000878334045
Type:   linkedlist, Operation:  AC, Word: instill        , Time difference:0.001939058304
Type:   linkedlist, Operation:  AC, Word: abkhazian      , Time difference:0.001808643341
Type:   linkedlist, Operation:  AC, Word: nama           , Time difference:0.001995801926
Type:   linkedlist, Operation:  AC, Word: aaaaaa         , Time difference:0.001934051514
Type:   linkedlist, Operation:  AC, Word: mmmmm          , Time difference:0.001951456070
Type:   linkedlist, Operation:  AC, Word: zzzzzz         , Time difference:0.001837491989
Type:   linkedlist, Operation:  AC, Word: yyyyy          , Time difference:0.001882076263
Type:   linkedlist, Operation:  AC, Word: win            , Time difference:0.001873016357
Type:   linkedlist, Operation:  AC, Word: boy            , Time difference:0.001868963242
Type:   linkedlist, Operation:   D, Word: instill        , Time difference:0.000006198883
Type:   linkedlist, Operation:   D, Word: abkhazian      , Time difference:0.000564575195
Type:   linkedlist, Operation:   D, Word: nama           , Time difference:0.001034259796
Type:   linkedlist, Operation:   D, Word: aaaaaa         , Time difference:0.001132249832
Type:   linkedlist, Operation:   D, Word: mmmmm          , Time difference:0.001036405563
Type:   linkedlist, Operation:   D, Word: zzzzzz         , Time difference:0.001048326492
Type:   linkedlist, Operation:   D, Word: yyyyy          , Time difference:0.001036882401
