Type:         trie, Operation:   A, Word: instill        , Time difference:0.000018119812
Type:         trie, Operation:   A, Word: abkhazian      , Time difference:0.000011205673
Type:         trie, Operation:   A, Word: nama           , Time difference:0.000006914139
Type:         trie, Operation:   A, Word: aaaaaa         , Time difference:0.000029325485
Type:         trie, Operation:   A, Word: mmmmm          , Time difference:0.000011920929
Type:         trie, Operation:   A, Word: zzzzzz         , Time difference:0.000013589859
Type:         trie, Operation:   S, Word: instill        , Time difference:0.000035524368
Type:         trie, Operation:   S, Word: abkhazian      , Time difference:0.000034809113
Type:         trie, Operation:   S, Word: nama           , Time difference:0.000016450882
Type:         trie, Operation:   S, Word: aaaaaa         , Time difference:0.000016450882
Type:         trie, Operation:   S, Word: mmmmm          , Time difference:0.000015735626
Type:         trie, Operation:   S, Word: zzzzzz         , Time difference:0.000016689301
Type:         trie, Operation:   S, Word: yyyyy          , Time difference:0.000014543533
Type:         trie, Operation:  AC, Word: instill        , Time difference:0.000023365021
Type:         trie, Operation:  AC, Word: abkhazian      , Time difference:0.000014305115
Type:         trie, Operation:  AC, Word: nama           , Time difference:0.000017166138
Type:         trie, Operation:  AC, Word: aaaaaa         , Time difference:0.000012159348
Type:         trie, Operation:  AC, Word: mmmmm          , Time difference:0.000011205673
Type:         trie, Operation:  AC, Word: zzzzzz         , Time difference:0.000010967255
Type:         trie, Operation:  AC, Word: yyyyy          , Time difference:0.000005960464
Type:         trie, Operation:  AC, Word: win            , Time difference:0.000058412552
Type:         trie, Operation:  AC, Word: boy            , Time difference:0.000006675720
Type:         trie, Operation:   D, Word: instill        , Time difference:0.000010251999
Type:         trie, Operation:   D, Word: abkhazian      , Time difference:0.000010490417
Type:         trie, Operation:   D, Word: nama           , Time difference:0.000006437302
Type:         trie, Operation:   D, Word: aaaaaa         , Time difference:0.000008583069
Type:         trie, Operation:   D, Word: mmmmm          , Time difference:0.000007152557
Type:         trie, Operation:   D, Word: zzzzzz         , Time difference:0.000007629395
Type:         trie, Operation:   D, Word: yyyyy          , Time difference:0.000005006790
