Type:        array, Operation:   A, Word: gleaning       , Time difference:0.001937866211
Type:        array, Operation:   A, Word: mcmahan        , Time difference:0.002917766571
Type:        array, Operation:   A, Word: terras         , Time difference:0.004634141922
Type:        array, Operation:   A, Word: aaaaaa         , Time difference:0.005355596542
Type:        array, Operation:   A, Word: mmmmm          , Time difference:0.005897760391
Type:        array, Operation:   A, Word: zzzzzz         , Time difference:0.005635976791
Type:        array, Operation:   S, Word: gleaning       , Time difference:0.002026557922
Type:        array, Operation:   S, Word: mcmahan        , Time difference:0.003160953522
Type:        array, Operation:   S, Word: terras         , Time difference:0.004817008972
Type:        array, Operation:   S, Word: aaaaaa         , Time difference:0.000011920929
Type:        array, Operation:   S, Word: mmmmm          , Time difference:0.000010728836
Type:        array, Operation:   S, Word: zzzzzz         , Time difference:0.000010728836
Type:        array, Operation:   S, Word: yyyyy          , Time difference:0.006309747696
Type:        array, Operation:  AC, Word: gleaning       , Time difference:0.013080596924
Type:        array, Operation:  AC, Word: mcmahan        , Time difference:0.012304782867
Type:        array, Operation:  AC, Word: terras         , Time difference:0.012019872665
Type:        array, Operation:  AC, Word: aaaaaa         , Time difference:0.011631727219
Type:        array, Operation:  AC, Word: mmmmm          , Time difference:0.011530637741
Type:        array, Operation:  AC, Word: zzzzzz         , Time difference:0.011371135712
Type:        array, Operation:  AC, Word: yyyyy          , Time difference:0.011574268341
Type:        array, Operation:  AC, Word: win            , Time difference:0.011846780777
Type:        array, Operation:  AC, Word: boy            , Time difference:0.011795282364
Type:        array, Operation:   D, Word: gleaning       , Time difference:0.005219697952
Type:        array, Operation:   D, Word: mcmahan        , Time difference:0.008350610733
Type:        array, Operation:   D, Word: terras         , Time difference:0.012890338898
Type:        array, Operation:   D, Word: aaaaaa         , Time difference:0.000019550323
Type:        array, Operation:   D, Word: mmmmm          , Time difference:0.000016927719
Type:        array, Operation:   D, Word: zzzzzz         , Time difference:0.000016689301
Type:        array, Operation:   D, Word: yyyyy          , Time difference:0.005113840103
