Type:   linkedlist, Operation:   A, Word: gleaning       , Time difference:0.000014066696
Type:   linkedlist, Operation:   A, Word: mcmahan        , Time difference:0.005532026291
Type:   linkedlist, Operation:   A, Word: terras         , Time difference:0.010921001434
Type:   linkedlist, Operation:   A, Word: aaaaaa         , Time difference:0.010888576508
Type:   linkedlist, Operation:   A, Word: mmmmm          , Time difference:0.010812759399
Type:   linkedlist, Operation:   A, Word: zzzzzz         , Time difference:0.010915994644
Type:   linkedlist, Operation:   S, Word: gleaning       , Time difference:0.000056505203
Type:   linkedlist, Operation:   S, Word: mcmahan        , Time difference:0.004047155380
Type:   linkedlist, Operation:   S, Word: terras         , Time difference:0.008164644241
Type:   linkedlist, Operation:   S, Word: aaaaaa         , Time difference:0.008280515671
Type:   linkedlist, Operation:   S, Word: mmmmm          , Time difference:0.008269309998
Type:   linkedlist, Operation:   S, Word: zzzzzz         , Time difference:0.007997035980
Type:   linkedlist, Operation:   S, Word: yyyyy          , Time difference:0.008015871048
Type:   linkedlist, Operation:  AC, Word: gleaning       , Time difference:0.016864776611
Type:   linkedlist, Operation:  AC, Word: mcmahan        , Time difference:0.017101526260
Type:   linkedlist, Operation:  AC, Word: terras         , Time difference:0.017573356628
Type:   linkedlist, Operation:  AC, Word: aaaaaa         , Time difference:0.017858505249
Type:   linkedlist, Operation:  AC, Word: mmmmm          , Time difference:0.017835617065
Type:   linkedlist, Operation:  AC, Word: zzzzzz         , Time difference:0.017765283585
Type:   linkedlist, Operation:  AC, Word: yyyyy          , Time difference:0.017790794373
Type:   linkedlist, Operation:  AC, Word: win            , Time difference:0.018015384674
Type:   linkedlist, Operation:  AC, Word: boy            , Time difference:0.018106460571
Type:   linkedlist, Operation:   D, Word: gleaning       , Time difference:0.000010490417
Type:   linkedlist, Operation:   D, Word: mcmahan        , Time difference:0.005258798599
Type:   linkedlist, Operation:   D, Word: terras         , Time difference:0.010537624359
Type:   linkedlist, Operation:   D, Word: aaaaaa         , Time difference:0.010393381119
Type:   linkedlist, Operation:   D, Word: mmmmm          , Time difference:0.010445833206
Type:   linkedlist, Operation:   D, Word: zzzzzz         , Time difference:0.010754823685
Type:   linkedlist, Operation:   D, Word: yyyyy          , Time difference:0.010526657104
