Type:         trie, Operation:   A, Word: gleaning       , Time difference:0.000031471252
Type:         trie, Operation:   A, Word: mcmahan        , Time difference:0.000013828278
Type:         trie, Operation:   A, Word: terras         , Time difference:0.000007867813
Type:         trie, Operation:   A, Word: aaaaaa         , Time difference:0.000015497208
Type:         trie, Operation:   A, Word: mmmmm          , Time difference:0.000013351440
Type:         trie, Operation:   A, Word: zzzzzz         , Time difference:0.000027894974
Type:         trie, Operation:   S, Word: gleaning       , Time difference:0.000061511993
Type:         trie, Operation:   S, Word: mcmahan        , Time difference:0.000020265579
Type:         trie, Operation:   S, Word: terras         , Time difference:0.000018596649
Type:         trie, Operation:   S, Word: aaaaaa         , Time difference:0.000016689301
Type:         trie, Operation:   S, Word: mmmmm          , Time difference:0.000015735626
Type:         trie, Operation:   S, Word: zzzzzz         , Time difference:0.000016689301
Type:         trie, Operation:   S, Word: yyyyy          , Time difference:0.000015258789
Type:         trie, Operation:  AC, Word: gleaning       , Time difference:0.000043392181
Type:         trie, Operation:  AC, Word: mcmahan        , Time difference:0.000014066696
Type:         trie, Operation:  AC, Word: terras         , Time difference:0.000012159348
Type:         trie, Operation:  AC, Word: aaaaaa         , Time difference:0.000012397766
Type:         trie, Operation:  AC, Word: mmmmm          , Time difference:0.000010728836
Type:         trie, Operation:  AC, Word: zzzzzz         , Time difference:0.000011444092
Type:         trie, Operation:  AC, Word: yyyyy          , Time difference:0.000006437302
Type:         trie, Operation:  AC, Word: win            , Time difference:0.000485420227
Type:         trie, Operation:  AC, Word: boy            , Time difference:0.000074148178
Type:         trie, Operation:   D, Word: gleaning       , Time difference:0.000013113022
Type:         trie, Operation:   D, Word: mcmahan        , Time difference:0.000010251999
Type:         trie, Operation:   D, Word: terras         , Time difference:0.000009059906
Type:         trie, Operation:   D, Word: aaaaaa         , Time difference:0.000008583069
Type:         trie, Operation:   D, Word: mmmmm          , Time difference:0.000007629395
Type:         trie, Operation:   D, Word: zzzzzz         , Time difference:0.000021934509
Type:         trie, Operation:   D, Word: yyyyy          , Time difference:0.000005006790
