ID,TARGET_LifeExpectancy
1625,67.706381
179,79.207209
419,72.346868
580,57.575699
1317,65.513214
35,74.103883
1721,71.041878
1269,71.854054
564,71.615362
83,72.790508
2026,72.654617
1156,66.062898
211,60.514107
387,65.937557
852,69.257261
1689,55.824773
1092,60.307999
307,57.547803
339,71.343383
1204,64.652445
660,78.517874
467,72.373739
1528,68.820680
1833,65.049115
1366,58.570454
259,75.233238
964,72.998050
932,72.349676
516,71.808392
147,77.952613
1028,75.841174
1044,69.339625
900,82.302901
483,68.058919
1350,71.030842
371,73.495984
1060,76.904580
612,76.411928
1253,70.635762
996,64.425821
916,82.183602
2058,60.854107
1962,74.048197
1657,79.455560
1172,71.880891
499,81.112463
868,71.106747
1124,77.191716
532,72.994271
1334,64.768887
980,72.868527
1641,60.989730
1753,81.350835
2042,63.889971
788,64.590694
676,64.752121
1801,75.103016
948,78.098417
772,60.722474
1076,73.375459
1480,68.899550
1898,76.872512
820,77.856803
403,63.099036
67,80.647490
323,63.802016
1221,63.817430
115,76.307521
548,71.813484
2010,72.237836
355,54.339519
884,67.567182
1930,72.815615
724,79.299222
1705,81.776233
628,60.277920
1188,71.885937
1994,68.059745
1399,81.189892
1576,73.416698
227,67.679607
804,71.256146
1285,72.007486
1544,73.937436
451,79.046234
99,71.837222
1237,74.159066
1496,79.915761
1978,70.775804
243,71.884044
51,74.659522
1382,51.327782
1785,72.498966
1464,74.092619
1946,60.043583
836,70.692098
1140,78.900352
708,76.482007
3,62.999969
1881,73.263471
644,80.928403
1673,80.953022
1560,66.656241
435,80.002749
1012,74.129906
19,75.770507
1865,74.842783
756,75.986704
1914,77.385347
1415,67.465500
1769,82.927706
596,60.578379
740,66.611850
1448,65.219812
291,76.890051
1737,58.223911
1301,65.153410
1432,75.751542
163,75.055175
1512,70.718584
1817,69.478724
195,72.095218
1593,68.396367
131,68.038113
275,76.738111
1108,73.561499
1609,76.985126
1849,72.436271
692,64.186511
1624,64.884168
178,79.578376
418,74.348735
579,57.750143
1316,66.637433
34,74.203266
1720,71.476022
1268,71.148415
563,71.659574
82,72.809022
2025,69.492500
1155,59.627394
210,64.013603
386,66.100352
851,168.608922
1688,54.275537
1091,64.048718
306,66.566061
338,74.095051
512,73.570252
1203,58.672294
659,80.047564
466,74.071555
1527,66.974528
1832,65.439462
1365,58.017968
258,75.236207
963,73.377752
931,72.120117
515,72.043161
146,78.233855
1027,74.546853
1043,69.715758
899,81.882030
482,68.044931
1349,71.086729
370,75.582593
1059,75.565155
611,76.059117
1252,70.622237
995,64.621726
915,79.968967
2057,63.507260
1961,74.075122
1656,77.770156
1171,71.981690
498,70.137336
867,71.537274
1123,78.218136
531,73.242124
1333,68.811399
979,77.329174
1640,68.583923
1217,64.971621
1752,79.552194
2041,64.276738
787,65.060752
675,67.528453
1800,75.252775
947,78.190214
771,61.328172
1589,73.288780
1075,73.036534
1479,68.971391
1897,72.274493
819,78.032499
1894,61.755814
402,64.767294
66,78.581109
322,69.852524
1220,64.298933
114,76.803843
547,72.633931
2009,73.741403
354,53.046194
883,70.073946
1929,72.849988
723,80.611945
1704,82.205597
627,60.921047
1187,72.321656
